Time,acc_x,acc_y,acc_z
1.188,0.0,0.0,0.0
1.189,0.0,0.0,0.0
1.328,4e-05,0.005,-1.01185
1.328,-0.00164,0.00519,-1.01269
1.525,0.00065,0.00613,-1.01314
1.54,-0.00072,0.00611,-1.01187
1.726,0.00044,0.00678,-1.01092
1.726,0.00165,0.00536,-1.00997
1.935,8e-05,0.00547,-1.0109
1.935,-0.00101,0.00587,-1.01032
2.129,0.00136,0.00568,-1.01115
2.129,-0.00018,0.00457,-1.01154
2.129,-0.00037,0.00523,-1.01205
2.212,0.00064,0.00586,-1.01019
2.51,0.00119,0.00672,-1.01305
2.512,-0.00153,0.00532,-1.01118
2.514,0.11777,-0.00101,-1.00999
2.515,-0.0338,0.01488,-0.99666
2.516,-0.13584,-0.03441,-0.99913
2.528,-0.03814,0.03346,-1.00227
2.757,-0.06568,-0.01333,-1.01291
2.757,-0.03267,0.03805,-1.00719
2.965,0.05033,-0.02583,-1.01492
2.965,0.10072,0.02021,-1.00844
2.965,-0.10479,-0.00095,-1.0097
3.14,-0.0789,0.01781,-1.01218
3.14,0.0549,-0.00243,-1.012
3.14,0.06649,0.04153,-1.02513
3.369,-0.00817,-0.02222,-1.00953
3.369,-0.02282,0.00581,-1.00967
3.369,0.01837,0.01556,-1.01765
3.389,0.00396,0.00277,-1.00648
3.575,-0.00587,0.03647,-1.00915
3.784,0.00592,-0.01705,-1.00475
3.784,-0.00218,-0.01196,-1.03052
3.859,0.00197,0.02522,-1.00422
3.991,-0.00581,0.0048,-1.01576
4.149,0.00743,0.00712,-1.01952
4.149,0.00934,-0.01361,-1.00695
4.292,0.01412,0.00309,-1.00377
4.3,-0.00508,0.02201,-1.01351
4.302,-0.03655,0.01135,-1.0055
4.31,0.00376,-0.03742,-1.00243
4.406,-0.01682,0.02257,-1.02644
4.416,0.10776,0.07555,-0.96216
4.602,0.09104,-0.07331,-1.0277
4.602,-0.00041,-0.1944,-0.99643
4.602,-0.09486,0.09779,-1.00246
4.602,-0.09841,0.15047,-1.00173
4.811,-0.05836,-0.01232,-1.00526
5.013,-0.09776,0.09984,-1.00267
5.013,-0.00482,0.00594,-1.00129
5.013,0.08579,-0.05871,-1.01303
5.017,0.05128,0.01741,-1.03564
5.156,-0.06201,0.01553,-1.01655
