Time,gyro_x,gyro_y,gyro_z
1.188,0.0,0.0,0.0
1.189,0.0,0.0,0.0
1.328,-0.00467,-0.00045,0.00166
1.328,-0.0062,0.002,0.00384
1.525,-0.00432,0.00234,0.00514
1.54,-0.00435,0.00226,0.00412
1.726,-0.00477,0.00133,0.00346
1.726,-0.00467,0.00061,0.00366
1.935,-0.0044,0.00083,0.00235
1.935,-0.00937,-0.00296,0.00451
2.129,-0.00345,0.00067,0.00126
2.129,-0.00688,-0.00024,0.00155
2.129,-0.00475,0.00317,0.002
2.212,-0.00465,-8e-05,0.00394
2.51,-0.00191,0.00076,0.00417
2.512,-0.00273,0.00105,0.00472
2.514,-0.01177,0.02537,0.03119
2.515,0.03941,-0.02301,-0.04986
2.516,-0.00365,0.00645,0.03965
2.528,0.00981,0.01561,0.01753
2.757,-0.00645,0.00072,-0.00569
2.757,-0.01242,0.00292,-0.05195
2.965,0.02183,-0.00262,0.00579
2.965,0.00117,-0.00938,0.03541
2.965,-0.01102,-0.00377,-0.00578
3.14,-0.00327,0.01601,-0.02064
3.14,-0.01889,0.01969,-0.00557
3.14,0.03814,-0.03096,-0.01653
3.369,-0.00508,-0.02536,0.0337
3.369,-0.0102,0.0003,-0.03722
3.369,-0.03112,0.00062,0.04817
3.389,-0.00994,0.00429,-0.01316
3.575,-0.00337,0.01317,-0.00756
3.784,-0.00912,-0.00584,0.0065
3.784,-0.02303,-0.00409,0.05483
3.859,-0.01363,0.01548,0.0132
3.991,-0.0133,0.01718,-0.04386
4.149,-0.01034,-0.01511,-0.03558
4.149,-0.00137,0.01822,-0.01135
4.292,-0.01923,0.00914,0.00139
4.3,0.00826,-0.00346,-0.00806
4.302,0.00618,-0.01503,-0.06389
4.31,0.00925,0.01497,0.106
4.406,0.01569,-0.02155,0.02137
4.416,0.06314,0.0517,-0.11887
4.602,-0.00151,0.02158,-0.30593
4.602,0.00996,0.00267,-0.14532
4.602,-0.09035,0.00966,0.09819
4.602,0.01949,-0.00116,0.08423
4.811,-0.025,-0.01284,0.12652
5.013,0.01006,-0.01195,0.03306
5.013,-0.00843,0.04367,0.00122
5.013,-0.01806,0.00557,0.02658
5.017,0.01295,-0.06648,0.01021
5.156,-0.03301,0.00428,0.07096
