Time,gyro_x,gyro_y,gyro_z
0.925,-0.00773,0.00195,0.00194
0.925,-0.00773,0.00195,0.00194
0.931,-0.006,0.00158,0.00163
1.065,-0.00644,0.00412,0.00251
1.071,-0.00632,0.0012,0.00341
1.071,-0.00731,0.00262,0.00183
1.09,-0.00358,0.00391,0.00365
1.501,-0.00759,0.00585,0.00242
1.507,-0.00759,0.00585,0.00242
1.508,-0.00233,0.00321,0.00172
1.508,-0.00687,0.00261,0.00557
1.511,-0.00535,0.00264,0.00393
1.511,-0.00507,0.00431,0.00271
1.511,-0.00587,0.00236,0.00177
1.511,-0.00367,0.00212,0.00164
1.511,-0.00759,0.00253,0.00101
1.696,-0.00564,0.00362,0.00228
1.696,-0.00572,0.00453,0.0018
1.696,-0.00543,0.00448,0.00298
1.696,-0.00535,0.00203,0.00351
1.711,-0.00674,0.00232,0.0004
1.9,-0.00571,0.00379,0.00244
1.9,-0.00546,0.0049,0.00481
1.9,-0.00671,0.00578,0.0037
1.9,-0.005,0.00119,-0.00166
1.9,-0.00828,0.00279,0.00281
1.9,-0.00914,0.00138,0.00314
2.071,-0.0072,0.00348,-0.00036
2.085,-0.00538,0.00581,0.00446
2.313,-0.00854,0.00288,0.00147
2.313,-0.00607,0.0073,0.00167
2.313,-0.00825,0.00571,0.00418
2.313,-0.00623,0.00317,0.00315
2.313,-0.00736,0.00367,0.00208
2.313,-0.00432,0.00162,0.0004
2.327,-0.00615,0.00147,0.00372
2.522,-0.00569,0.00013,0.00133
2.522,-0.00679,0.00611,0.002
2.524,-0.00877,0.0062,0.00342
2.714,-0.00566,0.00261,-0.00191
2.724,-0.00734,0.00453,0.00312
2.724,-0.00519,0.00394,-0.00155
2.903,-0.00711,0.00572,0.00332
2.903,-0.00705,0.00311,0.00325
2.903,-0.0075,0.00265,0.00078
3.079,-0.0077,0.00361,0.00052
3.079,-0.00547,0.00677,0.00155
3.079,-0.00637,0.00119,0.00223
3.123,-0.00699,0.00146,0.00286
3.333,-0.008,0.00144,0.00208
3.333,-0.00472,0.00212,-0.0011
3.333,-0.00634,0.00516,0.00048
3.333,-0.008,0.0008,0.00124
3.528,-0.00663,0.00351,0.002
3.544,-0.00754,0.00179,0.00111
3.544,-0.00552,0.00293,0.0039
3.544,-0.00772,0.00105,0.00384
3.544,-0.00638,0.00625,0.00157
3.56,-0.00554,0.00347,0.00097
3.56,-0.00651,0.00135,0.00074
3.732,-0.00633,0.00247,0.00419
3.732,-0.00408,0.00277,0.00215
3.743,-0.00504,0.00307,0.00145
3.743,-0.00661,0.00126,0.00152
3.748,-0.00661,0.00126,0.00152
3.764,-0.00617,0.00122,0.00182
3.78,-0.00742,0.0034,0.00282
3.797,-0.00603,0.00233,0.00167
3.828,-0.00756,0.00882,0.00556
3.845,-0.00756,0.00882,0.00556
3.861,-0.00608,4e-05,0.00466
3.877,-0.00534,0.00044,0.00362
3.909,-0.00422,0.00161,0.0016
3.925,-0.00454,0.00096,0.00228
3.942,-0.00725,0.00441,0.00155
3.958,-0.00725,0.00441,0.00155
3.989,-0.01797,0.01961,-0.01018
4.005,-0.01257,0.0079,0.0082
4.022,0.00431,-0.00672,-0.01788
4.037,-0.00772,-0.01159,0.01495
4.069,-0.01737,0.00278,0.0182
4.085,-0.02263,-0.00898,-0.00632
4.102,-0.0247,0.00366,0.02046
4.118,-0.01168,0.01106,0.00859
4.15,-0.00394,0.01008,0.00058
4.171,-0.00604,0.00706,-0.01711
4.182,-0.00474,0.0134,-0.00776
4.203,0.00131,0.02979,0.00463
4.247,-8e-05,0.0232,-0.0021
4.264,-0.00481,0.02005,-0.00033
4.28,-0.00592,-0.00606,-0.00686
4.311,0.00657,-0.00028,-0.01338
4.327,0.0122,-0.00245,-0.01378
4.344,-0.02743,-0.01673,0.01726
4.36,-0.02725,-0.0025,0.03962
4.392,-0.03816,-0.00046,0.02189
4.407,-0.00756,0.01103,-0.00785
4.425,-0.00616,0.00466,-0.00412
4.44,0.01059,0.01755,0.01849
4.472,0.00176,0.02172,0.00683
4.488,-0.01422,0.03356,-0.01625
4.51,-0.02171,0.0237,-0.00156
4.521,-0.00802,0.02576,0.00277
4.552,-0.00176,0.012,-0.02577
4.568,-0.01197,0.00092,-0.00533
4.585,-0.00901,0.00866,0.00728
4.6,-0.00379,-0.02304,-0.01724
4.621,0.02106,-0.02222,-0.02436
4.648,-0.00463,-0.0152,0.00994
4.665,-0.00243,0.01153,0.05807
4.681,-0.00711,0.00721,0.05517
4.711,6e-05,0.02457,0.01291
4.727,-0.00977,0.03943,0.01266
4.751,-0.01558,0.02774,0.04438
4.77,-0.02993,0.03122,0.01876
