Time,acc_x,acc_y,acc_z
0.925,-0.00011,0.00205,-1.01217
0.925,-0.00011,0.00205,-1.01217
0.931,-0.00035,0.00305,-1.01214
1.065,-0.00038,0.00383,-1.012
1.071,0.00019,0.00138,-1.01492
1.071,-0.00116,0.00166,-1.01454
1.09,-0.00054,0.0017,-1.01328
1.501,-0.00207,0.00087,-1.01477
1.507,-0.00207,0.00087,-1.01477
1.508,-0.00087,0.00389,-1.01276
1.508,0.00066,0.00313,-1.01345
1.511,0.00235,0.00238,-1.01419
1.511,0.0011,0.00368,-1.01252
1.511,0.00041,0.00208,-1.01374
1.511,-0.00212,0.00152,-1.01354
1.511,-0.00019,0.00298,-1.01273
1.696,0.00326,0.0024,-1.01425
1.696,0.00196,0.00365,-1.01354
1.696,-0.00065,0.00353,-1.01196
1.696,-0.00251,0.00139,-1.0132
1.711,-0.00199,0.00376,-1.01314
1.9,-0.00037,0.00333,-1.01337
1.9,0.00062,0.00363,-1.01332
1.9,0.00179,0.00171,-1.01484
1.9,0.00284,0.00309,-1.01456
1.9,0.00021,0.00393,-1.01405
1.9,-0.00136,0.00226,-1.01277
2.071,0.00262,0.00412,-1.01225
2.085,0.00185,0.00188,-1.01403
2.313,0.00184,0.00313,-1.0139
2.313,0.00131,0.00405,-1.01216
2.313,0.00059,0.00308,-1.01383
2.313,0.00026,0.00542,-1.01405
2.313,-0.00036,0.00181,-1.01412
2.313,-0.00048,0.00306,-1.01326
2.327,-0.00055,0.00392,-1.01187
2.522,-0.00046,0.00268,-1.01293
2.522,-0.0022,0.00297,-1.0124
2.524,-0.00092,0.00261,-1.01389
2.714,0.00316,0.00195,-1.01464
2.724,-0.00212,0.0023,-1.01451
2.724,-0.00096,0.0033,-1.01307
2.903,-0.00074,0.0028,-1.01245
2.903,-0.00109,0.00258,-1.01241
2.903,0.00178,0.00158,-1.01402
3.079,0.00152,0.003,-1.01198
3.079,0.00025,0.00147,-1.01332
3.079,3e-05,0.00303,-1.01241
3.123,0.00178,0.00253,-1.01235
3.333,0.00273,0.00262,-1.01197
3.333,-0.00097,0.00338,-1.01319
3.333,-0.00208,0.00103,-1.01096
3.333,-0.00013,0.0015,-1.01453
3.528,-0.00016,0.00264,-1.01218
3.544,0.00031,0.00311,-1.0126
3.544,0.00024,0.00176,-1.01412
3.544,0.00235,0.0033,-1.01162
3.544,0.0029,0.00358,-1.01458
3.56,0.00137,0.00221,-1.0115
3.56,-0.00046,0.00224,-1.01345
3.732,-0.00185,0.00142,-1.0133
3.732,-0.00066,0.00185,-1.01234
3.743,-0.00028,0.00168,-1.01262
