Time,acc_x,acc_y,acc_z
0.514,0.0,0.0,0.0
0.514,0.0,0.0,0.0
0.535,-0.0038,0.00424,-1.016
0.555,-0.00443,0.00584,-1.01393
0.563,-0.00506,0.00523,-1.01293
0.595,-0.00205,0.00464,-1.01277
0.614,0.02296,0.00573,-1.00994
0.643,0.07908,0.00815,-1.01289
0.643,0.13906,0.00577,-1.01847
0.675,0.16842,0.00641,-1.02425
0.691,0.18523,0.00045,-1.00845
0.715,0.19363,0.00102,-1.00325
0.732,0.17679,-0.0023,-1.02432
0.750,0.17679,-0.0023,-1.02432
0.775,0.14861,0.03011,-1.01236
0.794,0.11059,0.02161,-1.02843
0.815,0.06828,0.00375,-1.01334
0.834,0.01854,-0.00319,-1.00602
0.855,-0.01139,0.00759,-1.02569
0.872,-0.05252,0.01525,-1.0234
0.891,-0.097,-0.01409,-0.99276
0.927,-0.11063,-0.02436,-1.02583
0.936,-0.12134,0.01765,-1.01658
0.955,-0.14067,0.02461,-1.02005
0.975,-0.13499,0.01808,-1.00483
0.995,-0.11222,0.02416,-1.00945
1.015,-0.07412,-0.04173,-1.00333
1.031,-0.03414,-0.01973,-1.03123
1.046,-0.0119,0.04268,-1.01889
1.062,-7e-05,0.03406,-1.015
1.094,0.02174,0.00215,-1.01502
1.112,0.05628,0.0002,-1.02103
1.126,0.07507,0.00776,-1.01764
1.141,0.07254,-0.00543,-1.01731
1.193,0.10079,-0.03733,-0.99811
1.211,0.08198,0.00264,-1.04643
1.229,0.05477,0.0601,-1.02155
1.254,0.03022,0.02602,-1.00493
1.272,0.01844,-0.01267,-1.01816
1.290,0.00987,-0.02964,-0.99711
1.314,-0.01644,-0.01595,-1.03335
1.332,-0.02584,0.03522,-1.01312
1.353,-0.05134,0.03025,-1.0123
1.375,-0.06412,-0.00088,-1.01833
1.393,-0.0501,0.00578,-0.98647
1.418,-0.06358,-0.0285,-1.03333
1.436,-0.07326,-0.00579,-1.02034
1.454,-0.06348,0.03837,-0.9955
1.476,-0.05376,0.00923,-1.02486
1.497,-0.02812,-0.00683,-1.02075
1.517,-0.01215,0.01495,-1.01114
1.539,-0.00607,0.00109,-1.01347
1.551,0.00444,-0.01012,-1.02365
1.575,0.02761,0.00909,-1.00255
1.593,0.03142,-0.00356,-1.01457
1.611,0.04189,-0.01375,-1.023
1.636,0.05459,0.0193,-1.01474
1.654,0.03883,0.02004,-1.01946
1.678,0.01776,0.03513,-1.02693
1.697,0.01017,0.00495,-0.98078
1.715,0.00723,-0.0512,-1.02187
1.733,0.02741,-0.0065,-1.02246
1.757,0.01373,0.01533,-1.01008
1.775,0.00315,0.00932,-1.02598
1.793,-0.02647,0.05092,-1.02347
1.812,-0.03523,-0.01646,-0.98823
1.836,-0.03494,-0.06682,-1.01887
1.854,-0.01528,-0.00471,-1.01187
1.872,-0.01417,0.04215,-1.02382
1.915,-0.00943,0.0429,-1.00531
1.932,-0.04192,0.03958,-1.04248
1.957,-0.04791,-0.01485,-0.98346
1.976,-0.02365,-0.05048,-1.01909
1.996,-0.00284,-0.02658,-1.02063
2.027,0.02164,0.0434,-1.01612
2.027,0.02164,0.0434,-1.01612
2.043,0.00498,0.0215,-1.00627
2.075,0.00366,0.00254,-1.03832
2.091,-0.00028,0.02687,-0.99692
2.108,0.00722,-0.02188,-1.01642
2.124,0.02422,-0.0265,-1.02469
2.156,0.02016,0.02351,-1.00409
2.172,0.00826,0.02251,-1.01289
2.189,0.00662,0.00253,-1.0255
2.204,0.00535,0.02926,-1.02345
2.235,0.00147,-0.02216,-0.98936
2.252,0.00067,-0.03308,-1.0197
2.268,-0.00239,0.01101,-1.02716
2.289,-0.00868,0.02729,-1.00944
2.315,-0.01958,-0.00022,-1.0245
2.331,-0.02258,-0.00391,-1.00749
2.356,-0.02824,0.00324,-1.00371
2.365,-0.0231,0.00335,-1.02003
2.399,-0.01732,0.01194,-1.01846
2.413,-0.01506,0.01396,-1.01509
2.437,-0.0166,-0.00083,-1.0126
2.460,-0.00128,0.00687,-1.00376
2.469,0.00387,-0.03344,-1.02248
2.489,0.01534,-0.00451,-1.01758
2.533,0.01989,0.04302,-1.02591
2.549,0.00028,0.02202,-1.0213
2.565,0.0094,0.00358,-1.00658
2.589,0.01211,0.01849,-0.9994
2.614,0.00248,-0.01857,-1.00627
2.629,0.0175,-0.058,-1.01072
2.644,0.03048,0.03137,-1.04428
2.676,-0.00508,0.05711,-1.02394
2.692,-0.00716,0.01824,-1.00303
2.708,-0.01479,-0.00542,-1.01825
2.724,-0.00348,-0.03494,-1.00691
2.756,0.00645,-0.03361,-0.99805
2.772,0.00698,0.02361,-1.03686
2.795,-0.01593,0.06602,-1.02323
2.811,-0.02776,0.02372,-1.01378
2.850,-0.02896,-0.01806,-1.0109
2.850,-0.01144,-0.03214,-1.01058
