Time,gyro_x,gyro_y,gyro_z
0.514,0.0,0.0,0.0
0.514,0.0,0.0,0.0
0.535,-0.00425,0.00415,0.00156
0.555,-0.00784,0.00336,0.00278
0.563,-0.00777,0.00554,-0.0011
0.595,-0.00545,0.0086,0.0005
0.614,-0.0,0.01423,0.00243
0.643,-0.01164,0.01093,-0.00881
0.643,0.00103,0.01471,-0.01538
0.675,0.01516,0.01652,-0.02811
0.691,0.01723,-0.01656,-0.01035
0.715,-0.01331,0.01232,-0.00507
0.732,-0.02394,0.01067,0.03359
0.750,-0.02394,0.01067,0.03359
0.775,-0.01687,0.0044,-0.01967
0.794,0.02681,-0.06314,-0.00981
0.815,-0.00284,-0.02385,-0.00886
0.834,-0.00356,0.00233,0.00347
0.855,0.0017,-0.00719,-0.00891
0.872,0.01555,-0.02443,-0.02712
0.891,-0.04364,0.03133,0.0164
0.927,-0.03418,0.00016,0.03027
0.936,0.01313,-0.00602,0.00799
0.955,0.01063,-0.00635,0.02466
0.975,0.01257,0.00532,-2e-05
0.995,0.01275,0.0072,-0.04191
1.015,-0.04285,0.03576,0.0536
1.031,-0.07248,0.01548,0.01982
1.046,-0.01329,0.0271,-0.02966
1.062,0.01066,0.01244,-0.01473
1.094,0.02013,0.00609,0.00745
1.112,-0.00113,-0.00233,-0.00652
1.126,0.01049,-0.00158,-0.01129
1.141,0.00485,-0.02018,0.01089
1.193,-0.09249,0.04984,0.055
1.211,0.00587,0.01113,-0.0129
1.229,0.0091,-0.00552,-0.06541
1.254,0.02793,-0.01742,-0.04618
1.272,-0.003,-0.03602,0.00361
1.290,-0.04466,0.03558,0.02355
1.314,-0.02435,0.00106,0.02086
1.332,0.02506,-0.0137,-0.02531
1.353,0.01519,-0.01493,-0.01584
1.375,0.00783,-7e-05,-0.00069
1.393,0.01148,0.04359,-0.01236
1.418,-0.06005,-0.01268,0.0334
1.436,0.01739,0.02584,-0.00122
1.454,0.01116,0.02381,-0.00226
1.476,-0.01159,-0.00731,0.02146
1.497,-0.0067,0.00415,-0.01101
1.517,-0.00576,0.01757,-0.00221
1.539,-0.01133,0.01054,0.0041
1.551,0.00501,-0.01009,0.01912
1.575,0.01234,0.0185,-0.0048
1.593,-0.02521,0.00181,0.01858
1.611,-0.0292,0.00884,0.00436
1.636,-0.02717,0.01356,-0.01723
1.654,-0.00053,-0.01519,0.01021
1.678,0.07621,-0.0198,-0.03891
1.697,0.00494,0.01589,0.0169
1.715,-0.03722,0.01617,0.06325
1.733,-0.04485,0.02075,-0.0055
1.757,-0.02757,0.00756,-0.00861
1.775,-0.00607,-0.01686,-0.01622
1.793,0.08794,-0.0094,-0.10251
1.812,-0.02071,0.01646,0.03142
1.836,-0.03458,0.02323,0.08025
1.854,-0.05772,0.02257,0.04516
1.872,-0.03262,0.00507,-0.02198
1.915,-0.00389,0.00412,-0.0567
1.932,0.07139,-0.02699,-0.09451
1.957,0.04877,0.01762,0.02006
1.976,-0.01413,0.01919,0.05125
1.996,-0.06304,0.02538,0.0625
2.027,-0.03517,-0.0013,-0.02967
2.027,-0.03517,-0.0013,-0.02967
2.043,-0.02383,0.02424,-0.03742
2.075,0.06675,-0.03255,-0.01032
2.091,0.03652,-0.00235,-0.01767
2.108,-0.01778,0.02129,0.03553
2.124,-0.0521,0.00426,0.03264
2.156,-0.02179,0.03812,-0.0164
2.172,-0.00527,0.00236,0.0124
2.189,0.00096,-0.00719,-0.01779
2.204,0.03719,-0.00448,-0.04145
2.235,-0.01355,0.02394,0.02593
2.252,-0.03995,0.01815,0.03033
2.268,-0.03422,0.00505,0.01
2.289,-0.01151,0.01504,-0.0207
2.315,0.00847,-0.01442,0.00358
2.331,0.00117,-0.00916,0.00394
2.356,-0.00566,0.01899,-0.00043
2.365,-0.01408,0.0082,0.0008
2.399,0.00559,0.00144,-0.02393
2.413,0.00788,0.00341,-0.00192
2.437,0.00774,0.01127,0.00915
2.460,-0.00901,0.00857,-0.00958
2.469,-0.03402,0.00011,0.04976
2.489,-0.02217,0.02391,0.01218
2.533,0.00571,-0.0225,-0.03787
2.549,0.01923,-0.01401,-0.02803
2.565,0.00768,-0.00023,-0.00353
2.589,0.03407,0.01055,-0.04157
2.614,-0.02919,0.0246,0.01908
2.629,-0.06055,0.04348,0.07374
2.644,-0.00245,-0.01614,-0.05325
2.676,0.01818,-0.00968,-0.02962
2.692,0.05114,-0.00044,-0.01816
2.708,0.026,-0.02828,0.01297
2.724,-0.02581,0.00092,0.0575
2.756,-0.08364,0.04528,0.06378
2.772,-0.01324,0.00968,-0.0277
2.795,0.01624,-0.00942,-0.05506
2.811,0.02568,-0.02148,-0.05761
2.850,0.00229,-0.01301,0.01695
2.850,0.00185,-0.0059,0.02002
2.866,-0.03654,0.00541,0.03171
2.891,-0.00606,-0.00341,-0.00544
