Time,acc_x,acc_y,acc_z
0.724,-0.0074,0.00939,-1.01387
0.724,-0.00615,0.00987,-1.01367
0.812,-0.00812,0.01035,-1.01216
0.812,-0.0083,0.00923,-1.01313
0.812,-0.00957,0.00925,-1.01226
0.828,-0.00884,0.00866,-1.0134
1.019,-0.00867,0.00864,-1.0151
1.019,-0.00899,0.00957,-1.01244
1.019,-0.008,0.01091,-1.01222
1.019,-0.00577,0.00947,-1.01601
1.019,-0.00773,0.00873,-1.01321
1.019,-0.00799,0.00961,-1.01411
1.234,-0.00902,0.00942,-1.01397
1.234,-0.00836,0.00839,-1.01483
1.246,-0.00633,0.00861,-1.01125
1.246,-0.0073,0.008,-1.01298
1.434,-0.00762,0.00805,-1.01457
1.439,-0.00897,0.00728,-1.01378
1.439,-0.00945,0.00844,-1.01305
1.446,-0.00955,0.0079,-1.01135
1.446,-0.00918,0.01061,-1.01215
1.643,-0.00806,0.00735,-1.01328
1.644,-0.00798,0.00864,-1.01372
1.644,-0.00755,0.00969,-1.01449
1.645,-0.00762,0.00858,-1.01414
1.646,-0.00873,0.01013,-1.01325
1.646,-0.00944,0.00911,-1.01164
1.649,-0.0103,0.01062,-1.01256
1.676,-0.00976,0.00919,-1.01301
1.689,-0.00905,0.00722,-1.01338
1.73,-0.00852,0.00972,-1.01346
1.846,-0.00601,0.00841,-1.01327
1.846,-0.00694,0.00881,-1.0149
1.846,0.12897,0.0107,-1.0152
1.97,0.19633,0.01841,-1.00688
1.97,0.23455,0.02135,-1.03713
1.97,0.28617,0.00938,-1.03839
1.987,0.16706,0.01574,-0.99788
2.051,0.14888,-0.04679,-1.02708
2.051,0.15404,0.0073,-1.02216
2.067,0.01728,-0.02021,-1.04633
2.257,0.00126,0.0052,-1.02865
2.257,-0.09147,-0.02726,-1.03095
2.257,-0.063,0.0742,-1.04411
2.469,-0.05825,0.03128,-0.99961
2.469,0.05585,0.02723,-1.0653
2.469,0.05122,-0.00331,-1.02327
2.487,0.06777,-0.00599,-1.03436
2.655,0.06824,0.01929,-1.00461
2.655,0.01862,-0.01415,-1.00763
2.655,-0.00614,-0.01059,-1.05372
2.655,-0.05659,0.01909,-1.01113
2.655,-0.05056,-0.01056,-0.94882
2.655,-0.03568,-0.01228,-1.03582
2.864,-0.05449,0.03015,-1.07881
2.864,-0.03937,0.00062,-0.93955
2.864,0.00855,-0.01291,-1.02107
2.864,0.03098,0.03763,-1.01793
2.864,0.01497,0.01938,-0.99236
2.864,0.02996,-0.03389,-1.05347
3.074,0.05212,-0.00179,-1.00759
3.074,0.02542,0.03036,-0.9914
3.074,-0.00453,0.01021,-0.99108
3.09,-0.01087,-0.00778,-1.05855
3.279,-0.01934,0.01074,-1.01561
3.279,-0.03691,0.01973,-0.98244
3.279,-0.01034,-0.01852,-0.99439
3.279,-0.02124,-0.00702,-0.96244
3.279,0.00217,0.02658,-1.04233
3.289,-0.01389,0.01358,-0.99982
3.473,-0.00418,-0.01727,-0.98497
3.473,0.01084,-0.00613,-0.9848
3.473,0.0225,-0.00316,-1.0186
3.489,0.008,-0.02097,-1.03911
3.695,-0.01794,0.03756,-0.98683
3.695,-0.03021,0.00547,-0.94113
3.695,-0.03021,0.00547,-0.94113
3.695,0.02057,0.00687,-1.00973
3.894,-0.02467,-0.01575,-1.00655
3.894,0.00176,-0.02537,-1.02589
3.894,-0.00642,0.00842,-1.03301
3.894,0.01262,-0.02223,-1.02213
3.894,0.00809,0.05175,-0.99073
3.902,-0.0043,-0.01903,-1.0266
4.009,-0.00186,-0.03349,-1.02389
4.009,0.00201,0.04161,-0.98423
4.009,0.01604,0.02081,-1.02264
4.017,0.00045,-0.0355,-1.04285
4.017,-0.0089,0.02646,-1.02602
4.017,-0.02,0.02549,-0.96124
4.047,0.02722,-0.02816,-1.00878
4.063,0.00258,0.01187,-1.06587
4.08,-0.02879,0.05248,-0.98619
4.096,-0.00939,-0.02646,-0.97643
4.127,0.02861,-0.0186,-1.04298
4.143,-0.00446,0.04507,-1.01303
4.16,-0.04887,-0.01574,-1.00186
4.184,0.00802,-0.02764,-1.01764
4.21,0.02532,0.03004,-1.01618
4.229,-0.02025,0.01878,-1.02443
4.245,-0.04393,0.0017,-0.99281
4.261,0.01764,0.00834,-1.02253
4.277,0.00188,0.00296,-1.02271
4.309,-0.03426,-0.01676,-0.99759
4.325,-0.01183,0.01247,-1.00264
4.341,0.02659,0.00768,-1.02142
4.357,0.00454,-0.00091,-1.03887
4.389,-0.02834,0.00395,-1.02831
4.405,-0.012,0.02583,-0.95508
4.421,0.01473,-0.02722,-1.02133
4.437,0.00151,-0.00722,-1.03445
4.469,-0.01752,0.01441,-1.01234
4.487,-0.00806,0.00891,-0.98044
4.507,0.00755,-0.00668,-1.05044
4.517,-0.00356,0.01575,-1.0053
4.549,-0.03908,-0.01184,-1.0472
4.565,0.00241,-0.00786,-0.96684
4.58,0.02022,0.02132,-1.02138
4.596,0.01705,0.01538,-0.97694
4.629,-0.00994,0.00034,-1.05386
4.645,-7e-05,0.01493,-1.04757
4.662,0.00311,0.0014,-0.98232
4.678,-0.00619,-0.01577,-0.97293
4.71,-0.00025,0.00492,-1.04684
4.726,-0.00267,0.00935,-1.04127
4.75,0.00127,-0.0068,-0.98756
4.771,-0.01722,0.01001,-0.99663
4.788,0.01197,0.01958,-1.02489
4.803,-0.04502,-0.01982,-1.05104
4.819,-0.07579,0.0003,-0.97879
4.835,-0.14684,0.0189,-1.00331
4.867,-0.18583,0.02436,-1.00546
4.899,-0.24223,0.03058,-1.05012
4.915,-0.26578,0.03144,-0.9799
4.948,-0.2581,0.00831,-1.01584
4.964,-0.26278,0.01254,-1.02714
4.98,-0.26641,-0.05668,-1.00563
5.008,-0.21979,-0.15405,-1.02771
5.027,-0.18798,-0.17238,-1.01483
5.044,-0.13079,-0.05855,-1.00732
5.059,-0.02949,0.05759,-1.02557
5.076,0.05025,0.08411,-1.00571
5.108,0.0889,0.05163,-1.01016
5.124,0.11217,-0.0018,-1.01159
5.141,0.13704,-0.01697,-1.01327
5.157,0.15119,-0.00055,-1.02926
5.189,0.13129,0.012,-1.01294
5.205,0.11442,-0.01192,-1.00435
5.221,0.1027,-0.04911,-1.02381
5.237,0.0809,-0.04271,-1.01906
5.271,0.05564,-0.01151,-1.01906
5.289,0.05564,-0.01151,-1.01906
