Time,gyro_x,gyro_y,gyro_z
0.724,-0.00681,0.00247,0.0002
0.724,-0.00734,0.00354,0.00279
0.812,-0.00601,0.00562,0.00243
0.812,-0.00971,0.00624,0.00222
0.812,-0.00703,0.00224,0.00096
0.828,-0.00466,0.00437,-0.00204
1.019,-0.00876,0.00572,0.00189
1.019,-0.00456,0.00419,0.00456
1.019,-0.00628,0.00146,0.00079
1.019,-0.00647,0.00378,0.00265
1.019,-0.00676,0.00533,0.00131
1.019,-0.0064,0.00362,0.00185
1.234,-0.00364,0.00475,0.0031
1.234,-0.00618,0.0056,0.001
1.246,-0.00607,0.00457,0.0003
1.246,-0.00717,0.00332,0.00175
1.434,-0.00789,0.00294,0.00137
1.439,-0.00536,0.00244,-0.00094
1.439,-0.00708,0.00284,0.00118
1.446,-0.00574,0.00302,-0.00041
1.446,-0.00733,0.00298,-0.0008
1.643,-0.00585,0.00277,0.0001
1.644,-0.00663,0.0034,0.00032
1.644,-0.00503,0.00342,0.0018
1.645,-0.00675,0.00402,0.00018
1.646,-0.00267,0.00288,-0.00118
1.646,-0.00363,0.00305,0.00102
1.649,-0.00657,0.00537,0.00465
1.676,-0.00808,0.00633,-0.00121
1.689,-0.00556,0.00417,0.00326
1.73,-0.00677,0.004,0.00236
1.846,-0.00631,0.00296,0.0006
1.846,-0.00476,0.00192,0.00104
1.846,-0.02776,0.04162,0.00282
1.97,-0.0155,0.06069,-0.0028
1.97,0.00466,0.03913,-0.03695
1.97,0.18706,-0.02711,-0.03094
1.987,-0.07514,0.05169,-0.0854
2.051,-0.03495,0.00972,0.09424
2.051,0.08449,0.00852,-0.02522
2.067,-0.01868,0.03185,0.02792
2.257,0.02802,-0.00696,-0.00359
2.257,-0.0314,0.03192,0.04698
2.257,0.02984,-0.00482,-0.08506
2.469,0.04775,-0.01053,-0.04159
2.469,0.03433,0.00994,-0.02778
2.469,-0.03231,-0.0141,0.03435
2.487,0.00164,-0.02232,-0.00172
2.655,-0.00914,0.00547,-0.00815
2.655,-0.03823,0.02499,0.04324
2.655,-0.01758,-0.04516,0.00952
2.655,0.04762,0.02355,-0.02564
2.655,-0.06901,0.03289,0.05179
2.655,-0.0642,0.02326,0.01053
2.864,0.07086,-0.0387,-0.02764
2.864,-0.00778,-0.01053,0.01576
2.864,-0.07674,0.0037,0.00616
2.864,0.1308,-0.02637,-0.07222
2.864,-0.02333,-0.00911,-0.02441
2.864,-0.06913,-0.01943,0.03479
3.074,-0.03977,0.01669,0.01787
3.074,-0.01254,-0.03308,-0.01473
3.074,0.04613,0.03227,0.02178
3.09,0.00117,-0.0419,-0.00334
3.279,-0.00427,-0.01679,-0.01031
3.279,-0.02224,0.0491,-0.00316
3.279,-0.04383,-0.02701,0.03795
3.279,-0.045,0.04371,0.04515
3.279,0.03914,-0.01112,-0.03517
3.289,0.01923,-0.00967,0.03533
3.473,-0.03054,0.00948,0.04164
3.473,0.03628,0.01252,0.019
3.473,-0.04204,-0.01592,0.01128
3.489,0.03224,-0.00953,0.03395
3.695,0.05235,0.05705,-0.03441
3.695,-0.04979,-0.00687,-0.00778
3.695,-0.04979,-0.00687,-0.00778
3.695,-0.00046,0.05165,-0.00916
3.894,-0.10117,-0.02532,0.01189
3.894,-0.03261,0.00081,0.02474
3.894,-0.05045,-0.03611,-0.00517
3.894,-0.01393,-0.03769,0.04383
3.894,0.03069,-0.00907,-0.08883
3.902,-0.04414,-0.01303,0.0348
4.009,-0.021,0.00182,0.02493
4.009,0.04298,0.03467,-0.0239
4.009,-0.05079,-0.01607,-0.00848
4.017,-0.00971,-0.03771,0.04848
4.017,0.03554,-0.04032,-0.02567
4.017,-0.03524,0.0781,-0.01418
4.047,-0.05405,-0.03678,0.0373
4.063,0.06657,-0.02387,-0.05368
