Time,acc_x,acc_y,acc_z
4.885,-0.20785,-0.03778,-0.96418
4.901,-0.23874,-0.02336,-1.01907
4.923,-0.25743,-0.00964,-1.0095
4.948,-0.27991,-2e-05,-1.02189
4.964,-0.27865,0.00908,-1.00811
4.982,-0.25375,0.02537,-1.01265
4.996,-0.18103,0.09235,-0.99777
5.028,-0.10047,0.18005,-1.01842
5.045,-0.09329,0.13988,-1.00888
5.06,-0.07013,-0.0002,-1.01323
5.09,-0.02943,-0.11159,-1.02239
5.095,0.02516,-0.09024,-1.01341
5.127,0.08716,0.02616,-1.0162
5.145,0.11718,0.05242,-1.01296
5.159,0.12289,0.01365,-1.01228
5.174,0.11112,0.00107,-1.01685
5.206,0.12031,0.01357,-1.01207
5.222,0.12943,0.01467,-1.00848
5.246,0.11686,0.00933,-1.0232
5.266,0.08843,0.0092,-1.01498
5.287,0.05821,0.00612,-1.0196
5.303,0.02621,0.00269,-1.01583
5.319,-0.01027,0.00624,-1.01355
5.346,-0.02111,0.03602,-1.00794
5.367,-0.0424,0.0322,-1.02209
5.385,-0.06399,0.0154,-1.01711
5.398,-0.07333,0.00673,-1.00582
5.431,-0.08379,0.00274,-1.01454
5.446,-0.09057,-0.00144,-1.00903
5.462,-0.09674,-0.00249,-1.00363
5.478,-0.09174,0.00325,-1.0074
5.51,-0.07324,0.00428,-1.01613
5.526,-0.04417,-0.0145,-1.02101
5.547,-0.0178,-0.02182,-1.01696
5.558,0.01904,-0.03255,-1.02152
5.59,0.05116,-0.0488,-1.0311
5.61,0.06212,0.00847,-1.0051
5.647,0.08061,0.05039,-1.00409
5.663,0.06857,0.02834,-1.00742
5.679,0.05222,-0.00729,-1.01597
5.695,0.04424,-0.03144,-1.01126
5.726,0.04923,-0.01587,-1.0128
5.747,0.04989,0.02832,-1.01172
5.759,0.03279,0.03638,-1.01456
5.792,0.01433,0.03533,-1.01461
5.808,0.01146,0.04495,-1.00893
5.825,-0.01313,0.03255,-1.01897
5.848,-0.02937,0.02296,-1.0087
5.861,-0.04354,0.00944,-1.01194
5.888,-0.04852,-0.00888,-1.01739
5.904,-0.047,-0.03392,-1.01927
5.92,-0.04102,-0.00789,-1.00353
5.948,-0.03958,-0.00115,-1.01734
5.967,-0.03885,-0.01544,-1.01348
5.984,-0.02639,-0.02673,-1.01581
6.0,-0.01548,-0.01926,-1.01266
6.022,0.00256,-0.00194,-1.01127
6.048,0.01513,0.00013,-1.01695
6.064,0.01834,-0.00029,-1.01854
6.08,0.01975,0.0162,-1.00863
6.096,0.01953,0.01219,-1.01843
6.129,0.02216,-0.00368,-1.01346
6.148,0.02417,-0.0089,-1.01486
6.168,0.02417,-0.0089,-1.01486
6.185,0.02411,0.00103,-1.02068
6.201,0.03201,0.01465,-1.01181
6.217,0.03107,0.02548,-1.00817
6.25,0.02278,0.02449,-1.01634
6.271,0.02278,0.02449,-1.01634
6.282,-0.02114,0.01366,-1.01829
6.298,-0.01969,0.01498,-1.0143
6.33,-0.01527,0.01839,-1.01301
6.348,-0.02731,0.00391,-1.00982
6.364,-0.02731,0.00391,-1.00982
6.378,-0.03196,0.0023,-1.00721
6.41,-0.02345,0.01019,-1.00546
6.425,-0.02785,0.00244,-1.0157
6.449,-0.01304,-0.00656,-1.02009
6.457,-0.01304,-0.00656,-1.02009
6.492,0.00648,0.00062,-1.01196
6.506,0.0164,-0.00553,-1.01512
6.522,0.00118,-0.02958,-1.01938
