Time,gyro_x,gyro_y,gyro_z
4.923,0.00725,0.02786,0.0653
4.948,-0.02047,0.00399,0.07026
4.964,0.00205,0.00926,0.07585
4.982,-0.0114,0.00314,0.03444
4.996,0.00927,-0.00764,-0.1425
5.028,-0.03226,0.02553,-0.46441
5.045,-0.05172,0.03098,-0.62906
5.06,-0.02691,0.04224,-0.63807
5.09,0.04809,-0.01906,-0.41499
5.095,0.00268,0.00674,-0.38979
5.127,-0.00826,0.00997,-0.4316
5.145,-0.04274,0.03076,-0.48343
5.159,-0.01781,0.03291,-0.47754
5.174,-0.02649,0.01832,-0.47618
5.206,-0.01934,0.01633,-0.49963
5.222,-0.00354,0.02002,-0.50377
5.246,-0.00999,0.00647,-0.50445
5.266,0.00478,-0.00544,-0.51029
5.287,0.00403,-0.00264,-0.4822
5.303,-8e-05,0.00712,-0.44677
5.319,-0.00185,0.00652,-0.4165
5.346,0.00064,-0.01047,-0.47542
5.367,-0.02269,-0.013,-0.4975
5.385,-0.01528,0.00756,-0.50322
5.398,0.01208,0.00124,-0.51366
5.431,0.00716,-0.01202,-0.51617
5.446,0.03738,-0.00368,-0.52081
5.462,-0.02681,0.02288,-0.54399
5.478,-0.04109,0.039,-0.54087
5.51,-0.04489,0.02898,-0.54499
5.526,-0.01203,0.02797,-0.49345
5.547,-0.02486,0.02218,-0.48179
5.558,0.04588,-0.00378,-0.43521
5.59,0.0296,-0.00123,-0.45485
5.61,0.01251,-0.00379,-0.51362
5.647,-0.01537,0.01886,-0.60114
5.663,-0.02075,0.01638,-0.62187
5.679,-0.00958,0.0222,-0.58709
5.695,-0.00843,0.01353,-0.51268
5.726,-0.00403,0.01452,-0.45001
5.747,-0.01884,0.00753,-0.45404
5.759,-0.0172,-0.00099,-0.48371
5.792,-0.01474,0.00156,-0.48663
5.808,-0.0167,0.01424,-0.53993
5.825,-0.01905,-0.00832,-0.55493
5.848,-0.01462,0.01287,-0.57326
5.861,0.00211,0.01556,-0.54431
5.888,0.02444,0.00293,-0.52334
5.904,0.02088,-0.0136,-0.5092
5.92,0.01009,0.00699,-0.52038
5.948,-0.01453,0.00978,-0.53591
5.967,-0.00687,0.01722,-0.52653
5.984,-0.01262,0.01167,-0.51483
6.0,-0.01477,0.01805,-0.50372
6.022,-0.00993,0.02113,-0.52318
6.048,-0.00109,0.00232,-0.52019
6.064,0.00727,0.00733,-0.54646
6.08,-0.00986,0.01987,-0.54657
6.096,-0.00823,0.02296,-0.53455
6.129,-0.00839,0.01767,-0.50147
6.148,0.01166,-0.00221,-0.49022
6.168,0.01166,-0.00221,-0.49022
6.185,-0.00896,0.00139,-0.47654
6.201,-0.00699,0.00321,-0.51371
6.217,-0.00148,-0.0038,-0.54979
6.25,-9e-05,0.0148,-0.56168
6.271,-9e-05,0.0148,-0.56168
6.282,-0.01333,0.00501,-0.50809
6.298,0.00076,0.00368,-0.52545
6.33,0.00105,-0.00346,-0.53791
6.348,0.0033,0.00552,-0.52878
6.364,0.0033,0.00552,-0.52878
6.378,-6e-05,0.01013,-0.50566
6.41,-0.01047,0.02657,-0.5245
6.425,-0.03942,0.02387,-0.52919
6.449,0.01573,0.00183,-0.53676
6.457,0.01573,0.00183,-0.53676
6.492,-0.00048,0.00622,-0.55188
6.506,-0.00787,0.01908,-0.51922
6.522,0.00429,-0.00437,-0.4732
6.549,0.01639,-0.00974,-0.49631
6.569,0.00608,0.00175,-0.50231
6.586,-0.00353,-0.00281,-0.52709
6.602,-0.00136,0.00114,-0.53836
6.618,-0.01029,0.01326,-0.54339
6.649,-0.03879,0.01694,-0.5668
6.666,-0.02932,0.01988,-0.58839
6.676,-0.0041,0.0146,-0.56123
6.707,0.00569,-0.00082,-0.48505
6.724,0.00878,0.00497,-0.44799
6.749,0.00379,-0.00362,-0.47613
6.772,-0.0057,0.00997,-0.46867
6.788,0.01531,0.0146,-0.46361
6.804,0.01951,-0.00469,-0.52327
6.82,0.01301,-0.00806,-0.56458
6.849,0.00517,0.00477,-0.56902
6.868,0.00466,0.00122,-0.58077
6.884,-0.01313,0.01411,-0.59433
6.9,-0.02129,0.03904,-0.59519
6.916,-0.06316,0.04226,-0.55113
6.949,-0.00633,0.01677,-0.49873
6.963,0.00962,0.00305,-0.46352
6.979,0.01038,-0.00159,-0.44054
7.027,-0.01073,0.0094,-0.44988
7.05,-0.01073,0.0094,-0.44988
7.059,-0.00325,-0.01962,-0.53274
7.09,0.00338,-0.00068,-0.5058
7.108,0.00148,0.00151,-0.53218
7.122,-0.00287,-0.00133,-0.58804
7.15,0.0018,0.01287,-0.57923
7.169,-0.01734,0.00946,-0.55635
7.185,-0.02883,0.03678,-0.55927
7.21,-0.02806,0.01912,-0.49587
7.225,0.01392,0.005,-0.43003
7.25,0.00681,-0.00527,-0.424
7.257,0.00128,0.00403,-0.49526
7.289,0.00782,0.00757,-0.52484
7.304,0.01365,-0.0166,-0.56242
7.32,0.02311,-0.00524,-0.59291
7.35,0.00821,-0.0003,-0.60062
7.368,-0.018,0.01015,-0.58215
7.384,-0.03311,0.01728,-0.5207
7.4,-0.04648,0.0387,-0.51408
7.416,-0.02892,0.02701,-0.50665
7.45,0.00875,0.02001,-0.4525
7.464,0.00788,0.00235,-0.42275
7.481,-0.0023,0.00434,-0.47243
7.496,0.00831,0.01254,-0.52497
7.528,-0.00755,0.0061,-0.52948
7.55,-0.0077,0.01065,-0.56613
7.561,-0.00887,0.0076,-0.57912
7.58,-0.014,0.00495,-0.60131
7.61,-0.00571,0.01003,-0.57154
