Time,gyro_x,gyro_y,gyro_z
1.394,-0.00357,0.00054,0.00559
1.395,-0.00357,0.00054,0.00559
1.396,-0.00305,-0.00047,0.00363
1.399,-0.00651,0.0,0.00389
1.399,-0.00348,0.00016,0.00142
1.596,-0.00442,0.00026,0.00268
1.598,-0.00589,0.00192,0.00313
1.598,-0.00401,-0.00117,0.00273
1.808,-0.00406,0.00153,0.00295
1.808,-0.00835,0.00069,0.00164
1.971,-0.00326,0.00151,0.00189
1.971,-0.00458,-0.00281,0.00339
1.986,-0.00211,0.00219,0.00162
2.21,-0.00467,0.00171,-0.00046
2.212,-0.00517,0.00279,0.00375
2.212,-0.00518,-0.0011,-0.00213
2.414,-0.00732,0.00189,0.00435
2.414,-0.00377,-8e-05,0.00519
2.414,-0.00527,-0.00118,0.00308
2.414,-0.00488,0.00135,0.00259
2.62,-0.00397,0.00072,0.00088
2.62,-0.00468,0.00108,0.00326
2.62,-0.00462,0.00184,0.0025
2.824,-0.00539,-0.00077,0.00254
2.824,-0.00415,0.00101,0.0039
2.839,-0.00403,0.00054,0.00304
2.982,-0.0076,0.00261,0.0039
2.998,-0.00586,0.00068,0.00369
3.029,-0.00453,-0.00246,0.00227
3.228,-0.00256,0.00124,0.00454
3.236,-0.00431,0.00081,0.0016
3.439,-0.00531,0.00315,0.00433
3.645,-0.00574,-0.00025,0.00317
3.651,-0.00311,0.00166,0.00352
3.653,-0.00485,0.00152,0.0013
3.85,-0.00473,4e-05,0.00272
3.85,-0.00637,0.00111,0.00312
3.858,-0.00587,0.00075,0.00278
3.993,-0.00506,-0.0013,0.00051
4.041,-0.0056,0.00201,0.00144
4.251,-0.00371,0.00462,0.00181
4.463,-0.00503,0.00161,0.00196
4.463,-0.0056,0.00062,0.00312
4.668,-0.0047,0.00034,0.00263
4.669,-0.00526,-0.00164,0.00362
5.003,-0.00442,0.00155,0.00125
5.003,-0.00465,0.00165,0.00381
5.066,-0.00398,0.00029,0.0031
5.066,-0.00455,-0.00274,0.0033
5.283,-0.003,-0.00171,0.00451
5.293,-0.00471,0.00066,0.00288
5.488,-0.00412,0.00246,0.00522
5.501,-0.00679,-0.00129,0.00373
5.515,-0.00477,0.00038,0.0037
5.69,-0.00755,-0.00187,0.00452
5.69,-0.00347,0.00137,0.0052
5.896,-0.00434,-0.00072,0.00359
5.902,-0.00463,0.0028,0.00207
6.015,-0.00567,0.00275,0.00106
6.015,-0.00567,0.00275,0.00106
6.099,-0.0033,-0.00046,0.00432
6.274,-0.0053,-0.00168,0.00384
6.274,-0.00399,0.0013,0.00085
6.274,-0.00565,0.00254,0.00336
6.292,-0.00405,0.00019,0.00342
6.369,-0.00484,-0.00147,0.00437
6.398,-0.00371,0.00198,0.00471
6.5,-0.00544,0.00101,0.00508
6.513,-0.00594,0.00118,0.00324
6.592,-0.00492,0.00147,0.00289
6.592,-0.00539,-0.00045,0.00328
6.672,-0.00638,0.0012,0.00141
6.689,-0.00575,0.00252,0.00091
6.77,-0.00442,0.00247,0.00237
6.793,-0.0019,-0.00096,0.00311
6.868,-0.00512,-5e-05,0.00382
7.032,-0.00554,0.00103,-0.00034
7.034,-0.00488,0.00026,0.00117
7.059,-0.00478,-0.00213,0.00288
7.192,-0.00641,-0.00158,0.00315
7.22,-0.00443,0.00043,0.00469
7.333,-0.00416,-0.00105,0.00324
7.349,-0.00369,-0.00182,-0.00022
7.511,-0.00468,0.00254,0.00321
7.648,-0.00747,0.00306,0.00427
7.679,-0.00502,0.00322,0.00416
7.809,-0.00467,0.00126,0.00213
7.81,-0.00472,0.00252,0.0019
7.818,-0.00573,0.0008,0.00306
7.958,-0.00721,-0.00133,0.00252
7.958,-0.00499,0.0014,0.00338
7.993,-0.00511,0.00102,0.00353
8.103,-0.00635,0.00184,0.00383
8.137,-0.00649,0.00217,0.00448
8.26,-0.00536,-0.00115,0.0022
8.292,-0.00372,0.00141,0.00297
8.387,-0.0054,0.00256,0.00305
8.532,-0.00711,0.0018,0.00349
8.532,-0.00413,0.00327,0.00282
8.549,-0.0048,0.00144,0.00348
8.709,-0.00709,-0.0005,0.00309
8.709,-0.00453,-0.00051,0.00293
8.719,-0.00369,4e-05,0.00575
8.741,-0.00585,0.00135,0.00423
8.855,-0.00403,0.00102,0.00404
8.89,-0.00353,0.0018,0.00293
8.982,-0.00453,0.00037,0.00192
8.999,-0.00504,0.00094,0.00207
9.132,-0.00505,0.00198,0.00076
9.134,-0.00591,0.00229,0.00422
9.155,-0.00501,0.00167,0.00272
9.265,-0.00488,0.00068,0.00156
9.297,-0.00384,0.00151,0.00238
9.394,-0.00743,1e-05,0.00423
9.514,-0.00313,-0.00061,0.00402
9.632,-0.00448,0.00216,0.00442
9.658,-0.00358,-0.0005,0.00347
9.759,-0.00364,0.00346,0.00231
9.773,-0.00471,0.00078,0.00443
9.898,-0.00384,-0.00024,0.00446
9.898,-0.00454,-8e-05,0.00625
10.021,-0.00526,0.00302,0.00281
10.023,-0.00293,0.00183,-0.0004
10.024,-0.00461,0.0005,0.00401
10.138,-0.00737,0.00376,0.00195
10.257,-0.00427,0.00075,0.00139
