Time,acc_x,acc_y,acc_z
1.394,-0.00556,0.00285,-1.01391
1.395,-0.00556,0.00285,-1.01391
1.396,-0.00752,0.00411,-1.01333
1.399,-0.0064,0.00446,-1.01037
1.399,-0.00801,0.00519,-1.01378
1.596,-0.00683,0.00416,-1.01019
1.598,-0.00651,0.00484,-1.01262
1.598,-0.00782,0.00343,-1.01277
1.808,-0.0088,0.00494,-1.01232
1.808,-0.00777,0.00382,-1.01176
1.971,-0.00673,0.00569,-1.01159
1.971,-0.00758,0.00353,-1.0132
1.986,-0.00953,0.00524,-1.01148
2.21,-0.00852,0.00647,-1.01103
2.212,-0.00814,0.0059,-1.01183
2.212,-0.00859,0.00275,-1.01175
2.414,-0.00687,0.00487,-1.01023
2.414,-0.00667,0.0041,-1.01194
2.414,-0.00799,0.00451,-1.01063
2.414,-0.00793,0.00534,-1.01332
2.62,-0.00831,0.00577,-1.01129
2.62,-0.00981,0.00279,-1.01135
2.62,-0.00757,0.00245,-1.01136
2.824,-0.00749,0.00432,-1.01253
2.824,-0.00853,0.00371,-1.00998
2.839,-0.00824,0.005,-1.0119
2.982,-0.0071,0.0055,-1.01162
2.998,-0.00682,0.00279,-1.01296
3.029,-0.00995,0.00608,-1.01191
3.228,-0.00694,0.00543,-1.0114
3.236,-0.00511,0.0051,-1.0131
3.439,-0.00919,0.00401,-1.01235
3.645,-0.00578,0.0049,-1.01214
3.651,-0.00845,0.00427,-1.01236
3.653,-0.00784,0.00502,-1.01145
3.85,-0.00823,0.00248,-1.01171
3.85,-0.0074,0.00331,-1.01116
3.858,-0.00654,0.00578,-1.01227
3.993,-0.00748,0.00408,-1.01221
4.041,-0.00497,0.00407,-1.01287
4.251,-0.00805,0.006,-1.01349
4.463,-0.00658,0.00391,-1.01124
4.463,-0.00801,0.00543,-1.01093
4.668,-0.00739,0.00526,-1.01186
4.669,-0.00908,0.00455,-1.01379
5.003,-0.00887,0.00364,-1.01246
5.003,-0.00892,0.00332,-1.01176
5.066,-0.00628,0.00423,-1.01246
5.066,-0.00663,0.00338,-1.01096
5.283,-0.00933,0.00365,-1.0117
5.293,-0.00973,0.00548,-1.01263
5.488,-0.00576,0.00319,-1.01209
5.501,-0.00661,0.00258,-1.0132
5.515,-0.00819,0.00312,-1.01295
5.69,-0.00711,0.00462,-1.012
5.69,-0.00719,0.00511,-1.01108
5.896,-0.00733,0.00314,-1.01242
5.902,-0.0068,0.00342,-1.01263
6.015,-0.00571,0.0051,-1.01293
6.015,-0.00571,0.0051,-1.01293
6.099,-0.0101,0.00561,-1.01227
6.274,-0.00812,0.00688,-1.0118
6.274,-0.00627,0.00487,-1.01314
6.274,-0.00768,0.0041,-1.01185
6.292,-0.00718,0.00554,-1.01232
6.369,-0.00769,0.00562,-1.01165
6.398,-0.00732,0.00533,-1.00969
6.5,-0.00713,0.00469,-1.01203
6.513,-0.00723,0.00563,-1.01268
6.592,-0.00659,0.00565,-1.01269
6.592,-0.00937,0.00428,-1.01099
6.672,-0.00866,0.00572,-1.01244
6.689,-0.00638,0.00541,-1.01343
6.77,-0.00492,0.00449,-1.01243
6.793,-0.00778,0.00268,-1.01046
6.868,-0.00928,0.00507,-1.01358
7.032,-0.00959,0.00491,-1.01129
7.034,-0.00707,0.00415,-1.01206
7.059,-0.00796,0.00475,-1.01197
7.192,-0.00783,0.00386,-1.01229
7.22,-0.00781,0.00391,-1.01279
7.333,-0.00862,0.00413,-1.01237
7.349,-0.00719,0.00497,-1.01333
7.511,-0.0053,0.00481,-1.01305
7.648,-0.00823,0.00378,-1.01247
7.679,-0.00865,0.00584,-1.01023
7.809,-0.0075,0.009,-1.0126
7.81,-0.00636,0.00587,-1.01163
7.818,-0.00828,0.00402,-1.01178
7.958,-0.00592,0.00294,-1.00968
7.958,-0.00843,0.00419,-1.01399
7.993,-0.00779,0.00551,-1.01006
8.103,-0.00877,0.00422,-1.01349
8.137,-0.00828,0.00471,-1.01269
8.26,-0.00648,0.00536,-1.01393
8.292,-0.0074,0.00405,-1.01131
8.387,-0.00768,0.00564,-1.01203
8.532,-0.00878,0.00601,-1.01071
8.532,-0.00743,0.0037,-1.01349
8.549,-0.00608,0.00465,-1.0121
8.709,-0.0083,0.0034,-1.01314
8.709,-0.0091,0.00429,-1.01088
8.719,-0.00952,0.00229,-1.01233
8.741,-0.00879,0.0048,-1.01243
8.855,-0.00594,0.00469,-1.01376
8.89,-0.00836,0.00432,-1.0114
8.982,-0.00998,0.00569,-1.01163
8.999,-0.00764,0.00741,-1.01374
9.132,-0.00763,0.00479,-1.01349
9.134,-0.00672,0.00508,-1.01197
9.155,-0.00816,0.00471,-1.01196
9.265,-0.00884,0.00433,-1.01296
9.297,-0.00761,0.0046,-1.01429
9.394,-0.00824,0.00437,-1.01269
9.514,-0.00635,0.00466,-1.01266
9.632,-0.0081,0.00417,-1.01174
9.658,-0.00802,0.00588,-1.01312
9.759,-0.00971,0.00488,-1.01391
9.773,-0.00717,0.0043,-1.01226
9.898,-0.00532,0.00382,-1.0122
9.898,-0.00794,0.00329,-1.01195
10.021,-0.00971,0.00523,-1.0123
10.023,-0.00841,0.00561,-1.01066
10.024,-0.00809,0.00489,-1.01281
10.138,-0.00539,0.00626,-1.01187
10.257,-0.00931,0.00567,-1.01236
10.278,-0.01056,0.00369,-1.01333
10.414,-0.00513,0.00614,-1.01106
10.414,-0.00749,0.00596,-1.0102
10.44,-0.00931,0.00465,-1.01242
10.524,-0.00803,0.00602,-1.01031
10.524,-0.00832,0.00467,-1.01032
10.652,-0.008,0.00642,-1.01225
10.7,-0.009,0.0054,-1.01305
10.788,-0.00741,0.0048,-1.01094
10.788,-0.00617,0.00457,-1.0111
10.929,-0.0096,0.0048,-1.01185
10.936,-0.00759,0.00464,-1.01239
11.056,-0.00968,0.00271,-1.01023
11.056,-0.00663,0.00455,-1.01292
11.169,-0.00785,0.00425,-1.01234
11.176,-0.0084,0.00458,-1.01301
11.185,-0.00801,0.00446,-1.01184
11.314,-0.00813,0.00547,-1.01366
11.314,-0.00782,0.00524,-1.0127
11.34,-0.00744,0.00387,-1.0126
11.453,-0.00786,0.00335,-1.00975
11.453,-0.00801,0.0058,-1.01138
11.565,-0.00782,0.00701,-1.01255
11.578,-0.00928,0.00603,-1.00928
11.597,-0.00626,0.00513,-1.01216
12.045,-0.00601,0.00343,-1.01008
12.045,-0.00925,0.00492,-1.00923
12.045,-0.00756,0.00569,-1.01009
12.045,-0.00895,0.007,-1.01255
12.082,-0.00978,0.00555,-1.00878
12.245,-0.00722,0.00368,-1.01173
12.247,-0.00758,0.00582,-1.01156
12.451,-0.00924,0.00563,-1.01266
12.451,-0.00824,0.0042,-1.01124
12.657,-0.00701,0.00502,-1.01145
12.661,-0.00674,0.00561,-1.01346
12.859,-0.00823,0.0051,-1.01183
12.862,-0.00859,0.00456,-1.00995
12.862,-0.00687,0.00609,-1.01031
13.066,-0.00853,0.0031,-1.01105
13.068,-0.00614,0.00578,-1.01008
13.118,-0.00851,0.00373,-1.01254
13.179,-0.0079,0.004,-1.01324
13.28,-0.00791,0.00387,-1.01123
13.476,-0.00819,0.00436,-1.01127
13.492,-0.00857,0.00431,-1.01277
13.681,-0.00754,0.00405,-1.01127
13.885,-0.00652,0.00726,-1.01035
13.886,-0.00731,0.00465,-1.01236
13.895,-0.01039,0.00512,-1.01424
14.116,-0.00785,0.00507,-1.01293
14.116,-0.01,0.00646,-1.01247
14.13,-0.00857,0.00557,-1.01206
14.293,-0.00723,0.00589,-1.01269
14.293,-0.0074,0.00508,-1.01199
14.501,-0.00816,0.00377,-1.01296
14.501,-0.00791,0.00463,-1.01175
14.705,-0.00758,0.00557,-1.01305
14.708,-0.00728,0.00509,-1.01006
14.71,-0.0086,0.00386,-1.01137
14.909,-0.00886,0.00641,-1.01144
14.909,-0.00743,0.0051,-1.01208
14.909,-0.00888,0.00345,-1.01026
15.1,-0.00671,0.00432,-1.0131
15.1,-0.0077,0.00482,-1.01159
15.115,-0.00882,0.00358,-1.01238
15.318,-0.01044,0.00289,-1.01209
15.32,-0.00698,0.0045,-1.0122
15.517,-0.00849,0.00561,-1.01063
15.517,-0.00842,0.00279,-1.01201
15.517,-0.00726,0.00251,-1.01203
15.728,-0.00621,0.00544,-1.01366
15.736,-0.00829,0.0033,-1.00984
15.933,-0.00844,0.00528,-1.01392
15.933,-0.00847,0.00389,-1.01209
15.941,-0.00752,0.00607,-1.01086
16.138,-0.00879,0.00496,-1.01285
16.142,-0.00893,0.00726,-1.01286
16.342,-0.0071,0.00395,-1.01286
16.543,-0.00826,0.00447,-1.01123
16.559,-0.00758,0.00438,-1.00995
16.752,-0.00818,0.00616,-1.01337
16.754,-0.00686,0.0046,-1.01281
16.957,-0.00717,0.00584,-1.01173
16.96,-0.007,0.00643,-1.01006
17.146,-0.00685,0.0056,-1.0109
17.146,-0.00824,0.00505,-1.01323
17.357,-0.01006,0.00512,-1.01106
17.368,-0.00877,0.00569,-1.01353
17.381,-0.00745,0.00416,-1.01023
17.776,-0.00972,0.00445,-1.01105
17.778,-0.00496,0.00447,-1.01271
17.778,-0.00782,0.00569,-1.01076
17.968,-0.01123,0.00368,-1.01244
17.968,-0.00978,0.00325,-1.01149
17.968,-0.0074,0.00517,-1.0128
17.968,-0.00539,0.00567,-1.01217
18.156,-0.01118,0.00428,-1.01207
18.156,-0.00984,0.00501,-1.0089
18.39,-0.00836,0.00495,-1.01274
18.394,-0.00689,0.00232,-1.01202
18.394,-0.00945,0.0033,-1.01193
18.595,-0.00984,0.00566,-1.01156
18.595,-0.00779,0.00479,-1.01299
18.792,-0.00599,0.00362,-1.01271
18.8,-0.00625,0.00399,-1.01358
18.801,-0.00724,0.00468,-1.01179
18.997,-0.00728,0.00448,-1.01343
18.997,-0.00925,0.00331,-1.01249
19.159,-0.00736,0.00473,-1.01066
19.159,-0.00645,0.00485,-1.012
19.159,-0.00804,0.00408,-1.0106
19.173,-0.00648,0.00462,-1.0124
19.173,-0.00955,0.00345,-1.0125
19.241,-0.00818,0.00333,-1.01225
19.412,-0.00805,0.00631,-1.01154
19.412,-0.00821,0.00612,-1.01279
19.412,-0.00739,0.00522,-1.01146
19.618,-0.00602,0.00442,-1.01202
19.619,-0.00751,0.0029,-1.01034
19.824,-0.00773,0.00564,-1.01121
19.826,-0.00744,0.00366,-1.01352
19.828,-0.01017,0.00557,-1.01199
20.032,-0.00757,0.00531,-1.01141
20.032,-0.00712,0.00538,-1.01121
20.04,-0.00699,0.00625,-1.01071
